Source,Target,Type,TimeInterval,Label,Category
1118,1552,directed,"<[2004, 2006)>",632,1.0
2942,2546,directed,"<[2004, 2006)>",633,1.0
1118,3112,directed,"<[2004, 2006)>",635,1.0
828,615,directed,"<[2004, 2006)>",636,5.0
1118,2262,directed,"<[2004, 2006)>",638,1.0
1118,50,directed,"<[2004, 2006)>",639,1.0
3406,3395,directed,"<[2004, 2006)>",640,1.0
3406,15,directed,"<[2004, 2006)>",642,1.0
1529,1552,directed,"<[2004, 2006)>",649,4.0
3070,521,directed,"<[2006, 2008)>",650,1.0
1118,20,directed,"<[2006, 2008)>",651,1.0
3185,2047,directed,"<[2006, 2008)>",657,5.0
2729,2704,directed,"<[2000, 2002)>",658,4.0
2195,2704,directed,"<[2000, 2002)>",660,4.0
1529,1794,directed,"<[2000, 2002)>",662,4.0
1529,2344,directed,"<[2000, 2002)>",663,4.0
1529,1794,directed,"<[2000, 2002)>",664,4.0
1529,2344,directed,"<[2000, 2002)>",665,4.0
2064,1640,directed,"<[2000, 2002)>",668,5.0
2897,1186,directed,"<[2000, 2002)>",671,5.0
2897,3397,directed,"<[2000, 2002)>",672,5.0
2897,3331,directed,"<[2000, 2002)>",674,5.0
2897,3412,directed,"<[2000, 2002)>",675,5.0
2195,1243,directed,"<[2000, 2002)>",681,4.0
2195,18,directed,"<[2000, 2002)>",683,4.0
2195,2990,directed,"<[2000, 2002)>",690,4.0
2195,3199,directed,"<[2000, 2002)>",691,4.0
2195,1248,directed,"<[2000, 2002)>",697,4.0
2195,1749,directed,"<[2000, 2002)>",699,4.0
2195,2107,directed,"<[2000, 2002)>",700,4.0
2195,72,directed,"<[2000, 2002)>",702,4.0
2195,1624,directed,"<[2000, 2002)>",703,4.0
2195,1251,directed,"<[2000, 2002)>",705,4.0
2195,540,directed,"<[2000, 2002)>",707,4.0
2729,1243,directed,"<[2000, 2002)>",712,4.0
2729,18,directed,"<[2000, 2002)>",714,4.0
2729,2990,directed,"<[2000, 2002)>",721,4.0
2729,3199,directed,"<[2000, 2002)>",722,4.0
2729,1248,directed,"<[2000, 2002)>",728,4.0
2729,1749,directed,"<[2000, 2002)>",730,4.0
2729,2107,directed,"<[2000, 2002)>",731,4.0
2729,72,directed,"<[2000, 2002)>",733,4.0
2729,1624,directed,"<[2000, 2002)>",734,4.0
2729,1251,directed,"<[2000, 2002)>",736,4.0
2729,540,directed,"<[2000, 2002)>",738,4.0
2195,2471,directed,"<[2000, 2002)>",739,4.0
2729,2471,directed,"<[2000, 2002)>",740,4.0
2195,684,directed,"<[2000, 2002)>",745,4.0
2729,684,directed,"<[2000, 2002)>",748,4.0
2195,75,directed,"<[2000, 2002)>",755,4.0
2729,75,directed,"<[2000, 2002)>",756,4.0
367,1427,directed,"<[2000, 2002)>",764,5.0
367,2614,directed,"<[2000, 2002)>",766,5.0
1667,1295,directed,"<[2000, 2002)>",768,1.0
1667,3376,directed,"<[2000, 2002)>",769,1.0
